# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415322825;-15158.53;-204.55;12372.32
axle;60;1415322885;618.10;-80.42;-755.80
axle;60;1415322945;-792.97;-3.83;4898.22
axle;60;1415323005;25.32;-17.92;57.45
axle;60;1415323065;405.05;-3.92;-157.65
axle;60;1415323125;-293.93;-3.60;-4465.70
axle;60;1415323185;326.57;-8.93;-3047.67
axle;60;1415323245;1484.22;-59.95;-39519.33
axle;60;1415323305;2504.30;-8.98;8635.80
axle;60;1415323365;13653.87;1.32;3885.40
axle;60;1415323425;-6898.27;0.85;6922.93
axle;60;1415323485;5572.55;1.10;4278.47
