# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415324420;-1;17.80;0.00;4.07;0.19;0.00;77.94
axle;60;1415324420;0;50.38;0.00;8.40;0.60;0.00;40.62
axle;60;1415324420;1;34.66;0.00;7.48;0.39;0.00;57.47
axle;60;1415324420;2;28.89;0.00;8.56;0.45;0.00;62.10
axle;60;1415324420;3;31.22;0.00;7.64;0.02;0.00;61.13
axle;60;1415324420;4;26.98;0.00;6.31;0.03;0.00;66.68
axle;60;1415324420;5;31.50;0.00;9.57;0.03;0.00;58.90
axle;60;1415324420;6;32.27;0.00;4.95;0.23;0.00;62.55
axle;60;1415324420;7;24.72;0.00;6.26;0.33;0.00;68.69
axle;60;1415324420;8;36.43;0.00;9.46;0.17;0.00;53.94
axle;60;1415324420;9;39.36;0.00;7.39;0.22;0.00;53.03
axle;60;1415324420;10;23.48;0.00;7.85;0.55;0.00;68.12
axle;60;1415324420;11;21.19;0.00;8.41;0.23;0.00;70.17
axle;60;1415324420;12;25.57;0.00;6.09;1.94;0.00;66.40
axle;60;1415324420;13;22.54;0.00;5.13;0.07;0.00;72.26
axle;60;1415324420;14;23.33;0.00;4.42;0.55;0.00;71.70
axle;60;1415324420;15;18.86;0.00;4.27;0.00;0.00;76.87
axle;60;1415324420;16;61.31;0.00;5.24;0.05;0.00;33.40
axle;60;1415324420;17;23.48;0.00;5.91;0.03;0.00;70.57
axle;60;1415324420;18;22.84;0.00;5.10;0.02;0.00;72.04
axle;60;1415324420;19;24.09;0.00;4.33;2.19;0.00;69.39
axle;60;1415324420;20;19.23;0.00;6.39;0.23;0.00;74.15
axle;60;1415324420;21;22.95;0.00;4.58;0.52;0.00;71.95
axle;60;1415324420;22;15.67;0.00;3.72;0.05;0.00;80.56
axle;60;1415324420;23;18.23;0.00;3.32;0.08;0.00;78.36
axle;60;1415324420;24;40.31;0.00;7.16;0.32;0.00;52.21
axle;60;1415324420;25;31.66;0.00;5.74;0.47;0.00;62.13
axle;60;1415324420;26;17.03;0.00;4.28;0.00;0.00;78.69
axle;60;1415324420;27;29.23;0.00;4.54;0.00;0.00;66.23
axle;60;1415324420;28;15.84;0.00;5.31;0.00;0.00;78.84
axle;60;1415324420;29;20.45;0.00;3.92;0.02;0.00;75.61
axle;60;1415324420;30;17.36;0.00;4.04;0.17;0.00;78.44
axle;60;1415324420;31;18.53;0.00;4.11;0.10;0.00;77.27
axle;60;1415324420;32;5.04;0.00;1.69;0.00;0.00;93.27
axle;60;1415324420;33;10.15;0.00;2.72;0.03;0.00;87.10
axle;60;1415324420;34;10.82;0.00;2.30;0.02;0.00;86.85
axle;60;1415324420;35;11.45;0.00;3.34;0.00;0.00;85.20
axle;60;1415324420;36;12.86;0.00;1.95;0.02;0.00;85.17
axle;60;1415324420;37;10.28;0.00;1.87;0.18;0.00;87.67
axle;60;1415324420;38;9.15;0.00;2.99;0.12;0.00;87.75
axle;60;1415324420;39;13.41;0.00;3.82;0.07;0.00;82.70
axle;60;1415324420;40;5.36;0.00;1.25;0.00;0.00;93.39
axle;60;1415324420;41;7.77;0.00;1.63;0.18;0.00;90.41
axle;60;1415324420;42;6.88;0.00;3.01;0.55;0.00;89.56
axle;60;1415324420;43;4.85;0.00;2.62;0.00;0.00;92.53
axle;60;1415324420;44;3.97;0.00;1.70;0.03;0.00;94.30
axle;60;1415324420;45;6.42;0.00;1.95;0.00;0.00;91.63
